LotID,Parameter,Unit,Count,Mean,StdDev,CV(%),Min,Q1,Median,Q3,Max,Range,IQR,Cp,Cpk,Cpm,Lower Spec,Upper Spec
FA53,No.U,,7473,176.77880369329586,109.92936300389593,62.184696755058354,1.0,78.0,170.0,269.0,442.0,441.0,191.0,,0.5333085382809646,,0.9,N/A
FA53,CONT,,6813,0.013112300014677824,0.00017239345589735206,1.3147461216138736,0.0127,0.013,0.0132,0.0132,0.0135,0.0008000000000000004,0.00020000000000000052,,25.353437279903204,,0.0,N/A
FA53,IGSS0,,6131,0.00021036758408090017,0.001862183794828864,885.2047253215267,-0.0031,-0.0003,4.36e-07,0.0016,0.0061,0.0092,0.0019,,0.037656072521784045,,0.0,N/A
FA53,IGSS1,,6489,0.000102339675296656,0.0020580485521340007,2010.9977349139083,-0.0033,-0.0007,6.85e-07,0.0019,0.0061,0.0094,0.0026,,0.01651036126608977,,4.0230000000000005e-07,N/A
FA53,IGSSR1,,5866,4.1677765257415624e-09,1.708337347941849e-09,40.98917821986362,8.453e-10,3.249e-09,4.21075e-09,5.632025e-09,1.12e-08,1.03547e-08,2.3830250000000003e-09,,-88.57193302036075,,4.581e-07,N/A
FA53,BVDSS1,V,6897,1.2907253008554444e-09,5.66111199845864e-10,43.85992894620309,0.0,7e-10,1.5e-09,1.7e-09,3.2e-09,3.2e-09,9.999999999999999e-10,,505201098436.914,,N/A,858.0000000000001
FA53,BVDSS2,V,5574,2.142351041263007e-07,1.3484925962720466e-06,629.445207764388,0.0,9.932e-10,2.4216500000000002e-09,7.4068e-09,1.4122e-05,1.4122e-05,6.4135999999999994e-09,,213176303.22180954,,N/A,862.4000000000001
FA53,DELTABV,V,4850,3.4627164948453606,0.021078445634523726,0.6087257119057059,3.3865,3.4531,3.4632,3.4726,3.5502,0.16369999999999996,0.01949999999999985,,34.83363262860965,,1.26,N/A
FA53,IDSS1,,7254,572.1591076097576,329.2971920458986,57.553430097716195,6.5e-09,17.059275,760.683,772.1067499999999,999.9,999.8999999934999,755.047475,,0.5791719672728113,,5.85e-09,N/A
FA53,VTH,V,7246,572.1907059115385,332.4428788767534,58.10001376152194,1.036e-07,3.4125,762.3965000000001,773.91375,795.658,795.6579998964,770.50125,,0.5708265911576305,,2.8890000000000002,N/A
FA53,RDSON1,,5840,1.700249058219178,0.5167718774070276,30.393892877569872,0.2259,1.48695,1.6589,1.940325,3.7583,3.5324,0.4533750000000001,,0.9237145188090065,,0.2682,N/A
FA53,VFSDS,V,7241,0.3858338466710951,0.2589103092753725,67.10409454981827,6.14e-08,0.124334,0.561978,0.573326,0.767,0.7669999386,0.448992,,-0.38503185931570794,,0.6849000000000001,N/A
FA53,IGSS2,,7241,0.6077074475148184,0.2995020297946325,49.28391630206727,4.98e-08,0.137462,0.796,0.7983,0.8054,0.8053999502,0.660838,,0.6763530987102395,,6.975e-08,N/A
FA53,IGSSR2,,5750,1.3794859652173912e-09,6.087922880228193e-10,44.1318218070367,0.0,1.1475e-09,1.4871e-09,1.686e-09,4e-09,4e-09,5.385e-10,,-31.86665095238585,,5.958e-08,N/A
FA53,IDSS2,,6897,1.473178251413658e-09,6.91748206769408e-10,46.95617832435472,0.0,9.486e-10,1.7658e-09,1.9298e-09,3.3e-09,3.3e-09,9.812e-10,,-0.2875910351704464,,2.07e-09,N/A
